Username,Repository,Stars,Repo URL
localstack,localstack,49.4k,https://github.com/localstack/localstack
harness,gitness,29.5k,https://github.com/harness/gitness
jenkinsci,jenkins,21.5k,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12.8k,https://github.com/auchenberg/volkswagen
theonedev,onedev,11.9k,https://github.com/theonedev/onedev
dagger,dagger,9.1k,https://github.com/dagger/dagger
openshift,origin,8.4k,https://github.com/openshift/origin
concourse,concourse,7k,https://github.com/concourse/concourse
gocd,gocd,6.9k,https://github.com/gocd/gocd
milanm,DevOps-Roadmap,6.2k,https://github.com/milanm/DevOps-Roadmap
gaia-pipeline,gaia,5.1k,https://github.com/gaia-pipeline/gaia
buildbot,buildbot,5.1k,https://github.com/buildbot/buildbot
Strider-CD,strider,4.6k,https://github.com/Strider-CD/strider
jenkins-x,jx,4.4k,https://github.com/jenkins-x/jx
ovh,cds,4.3k,https://github.com/ovh/cds
xcpretty,xcpretty,3.9k,https://github.com/xcpretty/xcpretty
JamesIves,github-pages-deploy-action,3.9k,https://github.com/JamesIves/github-pages-deploy-action
iterative,cml,3.8k,https://github.com/iterative/cml
werf,werf,3.8k,https://github.com/werf/werf
hygieia,hygieia,3.8k,https://github.com/hygieia/hygieia
cake-build,cake,3.7k,https://github.com/cake-build/cake
TheLartians,ModernCppStarter,3.7k,https://github.com/TheLartians/ModernCppStarter
tox-dev,tox,3.4k,https://github.com/tox-dev/tox
ligurio,awesome-ci,3.3k,https://github.com/ligurio/awesome-ci
SamKirkland,FTP-Deploy-Action,2.9k,https://github.com/SamKirkland/FTP-Deploy-Action
Flagsmith,flagsmith,2.9k,https://github.com/Flagsmith/flagsmith
k1LoW,tbls,2.6k,https://github.com/k1LoW/tbls
shivammathur,setup-php,2.6k,https://github.com/shivammathur/setup-php
dancryer,PHPCI,2.4k,https://github.com/dancryer/PHPCI
dreamans,syncd,2.2k,https://github.com/dreamans/syncd
nuke-build,nuke,2.1k,https://github.com/nuke-build/nuke
houndci,hound,1.9k,https://github.com/houndci/hound
fabric8io,fabric8,1.8k,https://github.com/fabric8io/fabric8
lastbackend,lastbackend,1.6k,https://github.com/lastbackend/lastbackend
FlowCI,flow-core-x,1.6k,https://github.com/FlowCI/flow-core-x
stepchowfun,toast,1.5k,https://github.com/stepchowfun/toast
bors-ng,bors-ng,1.5k,https://github.com/bors-ng/bors-ng
filipdutescu,modern-cpp-template,1.5k,https://github.com/filipdutescu/modern-cpp-template
agola-io,agola,1.3k,https://github.com/agola-io/agola
MewX,light-novel-library_Wenku8_Android,1.3k,https://github.com/MewX/light-novel-library_Wenku8_Android
bmitch,churn-php,1.3k,https://github.com/bmitch/churn-php
stepci,stepci,1.3k,https://github.com/stepci/stepci
japaric,trust,1.2k,https://github.com/japaric/trust
tj-actions,changed-files,1.2k,https://github.com/tj-actions/changed-files
thyrlian,AndroidSDK,1.1k,https://github.com/thyrlian/AndroidSDK
caicloud,cyclone,1.1k,https://github.com/caicloud/cyclone
jin,awesome-bazel,1k,https://github.com/jin/awesome-bazel
Piplin,Piplin,1k,https://github.com/Piplin/Piplin
screwdriver-cd,screwdriver,988,https://github.com/screwdriver-cd/screwdriver
bleenco,abstruse,898,https://github.com/bleenco/abstruse
dotnetcore,FlubuCore,880,https://github.com/dotnetcore/FlubuCore
pycontribs,jenkinsapi,833,https://github.com/pycontribs/jenkinsapi
bndr,gojenkins,822,https://github.com/bndr/gojenkins
geerlingguy,ansible-role-jenkins,803,https://github.com/geerlingguy/ansible-role-jenkins
xolvio,chimp,797,https://github.com/xolvio/chimp
buildkite,agent,763,https://github.com/buildkite/agent
PDP-10,its,756,https://github.com/PDP-10/its
platformio,platform-espressif32,742,https://github.com/platformio/platform-espressif32
adamrehn,ue4-docker,721,https://github.com/adamrehn/ue4-docker
jenkinsci,build-monitor-plugin,720,https://github.com/jenkinsci/build-monitor-plugin
ncarlier,webhookd,709,https://github.com/ncarlier/webhookd
jason-roberts,FeatureToggle,682,https://github.com/jason-roberts/FeatureToggle
flosell,lambdacd,673,https://github.com/flosell/lambdacd
binci,binci,671,https://github.com/binci/binci
iSoftStoneGroup,EazyBuilder,666,https://github.com/iSoftStoneGroup/EazyBuilder
php-censor,php-censor,666,https://github.com/php-censor/php-censor
vespene-io,_old_vespene,653,https://github.com/vespene-io/_old_vespene
expo,expo-github-action,640,https://github.com/expo/expo-github-action
uraimo,run-on-arch-action,597,https://github.com/uraimo/run-on-arch-action
adorsys,keycloak-config-cli,570,https://github.com/adorsys/keycloak-config-cli
100,Cranium,569,https://github.com/100/Cranium
jenkinsci,kubernetes-operator,564,https://github.com/jenkinsci/kubernetes-operator
fastlane-community,xcov,550,https://github.com/fastlane-community/xcov
pypyr,pypyr,540,https://github.com/pypyr/pypyr
globocom,huskyCI,540,https://github.com/globocom/huskyCI
edbizarro,gitlab-ci-pipeline-php,521,https://github.com/edbizarro/gitlab-ci-pipeline-php
mfaisalkhatri,awesome-learning,512,https://github.com/mfaisalkhatri/awesome-learning
groupon,DotCi,502,https://github.com/groupon/DotCi
bzppx,bzppx-codepub,489,https://github.com/bzppx/bzppx-codepub
showyourwork,showyourwork,480,https://github.com/showyourwork/showyourwork
chris-short,DevOps-README.md,448,https://github.com/chris-short/DevOps-README.md
circleci,circleci-images,440,https://github.com/circleci/circleci-images
Clivern,Gauntlet,434,https://github.com/Clivern/Gauntlet
jmeter-maven-plugin,jmeter-maven-plugin,425,https://github.com/jmeter-maven-plugin/jmeter-maven-plugin
google,clusterfuzzlite,414,https://github.com/google/clusterfuzzlite
buildkite,elastic-ci-stack-for-aws,403,https://github.com/buildkite/elastic-ci-stack-for-aws
CircleCI-Public,circleci-cli,397,https://github.com/CircleCI-Public/circleci-cli
harness,drone-cli,391,https://github.com/harness/drone-cli
bundlewatch,bundlewatch,386,https://github.com/bundlewatch/bundlewatch
JetBrains,Qodana,386,https://github.com/JetBrains/Qodana
testground,testground,385,https://github.com/testground/testground
davidgf,serverless-plugin-canary-deployments,367,https://github.com/davidgf/serverless-plugin-canary-deployments
platformio,platform-ststm32,356,https://github.com/platformio/platform-ststm32
cdancy,jenkins-rest,355,https://github.com/cdancy/jenkins-rest
nemonik,hands-on-DevOps,352,https://github.com/nemonik/hands-on-DevOps
SFDO-Tooling,CumulusCI,340,https://github.com/SFDO-Tooling/CumulusCI
erikdoe,ccmenu,331,https://github.com/erikdoe/ccmenu
cirruslabs,cirrus-ci-docs,330,https://github.com/cirruslabs/cirrus-ci-docs
SpicyPizza,create-envfile,327,https://github.com/SpicyPizza/create-envfile
taskcluster,taskcluster,326,https://github.com/taskcluster/taskcluster
